Year,data.Geography,data.Sources of waste for disposal,GeoCode,Value
2002,"","",,780.2
2004,"","",,802.4
2006,"","",,824
2008,"","",,792.3
2010,"","",,745.5
2012,"","",,722.4
2014,"","",,710.1
2016,"","",,701.7
2018,"","",,705.4
2002,data.Canada,data.Residential sources of waste for disposal,,273.7
2002,data.Canada,data.Non-residential sources of waste for disposal,,506.5
2002,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,736.5
2002,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,422.9
2002,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,313.7
2002,data.Prince Edward Island,data.All sources of waste for disposal,11,
2002,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2002,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2002,data.Nova Scotia,data.All sources of waste for disposal,12,422.8
2002,data.Nova Scotia,data.Residential sources of waste for disposal,12,184.3
2002,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,238.5
2002,data.New Brunswick,data.All sources of waste for disposal,13,560.8
2002,data.New Brunswick,data.Residential sources of waste for disposal,13,275.9
2002,data.New Brunswick,data.Non-residential sources of waste for disposal,13,284.9
2002,data.Quebec,data.All sources of waste for disposal,24,798.2
2002,data.Quebec,data.Residential sources of waste for disposal,24,256
2002,data.Quebec,data.Non-residential sources of waste for disposal,24,542.2
2002,data.Ontario,data.All sources of waste for disposal,35,810.3
2002,data.Ontario,data.Residential sources of waste for disposal,35,288.9
2002,data.Ontario,data.Non-residential sources of waste for disposal,35,521.5
2002,data.Manitoba,data.All sources of waste for disposal,46,787.5
2002,data.Manitoba,data.Residential sources of waste for disposal,46,362.4
2002,data.Manitoba,data.Non-residential sources of waste for disposal,46,425.1
2002,data.Saskatchewan,data.All sources of waste for disposal,47,810.4
2002,data.Saskatchewan,data.Residential sources of waste for disposal,47,284.1
2002,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,526.4
2002,data.Alberta,data.All sources of waste for disposal,48,938.7
2002,data.Alberta,data.Residential sources of waste for disposal,48,281.4
2002,data.Alberta,data.Non-residential sources of waste for disposal,48,657.3
2002,data.British Columbia,data.All sources of waste for disposal,59,666
2002,data.British Columbia,data.Residential sources of waste for disposal,59,230.2
2002,data.British Columbia,data.Non-residential sources of waste for disposal,59,435.8
2002,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
