Year,data.Geography,data.Type of materials diverted,data.Sources of materials prepared for recycling,GeoCode,Value
2018,"","","",,261.82393719787603
2020,"","","",,264.73877540224913
2018,data.Canada,data.All materials diverted,data.Residential sources of diverted materials,,
2018,data.Canada,data.All materials diverted,data.Non-residential sources of diverted materials,,
2018,data.Canada,data.All paper fibres,data.All sources of diverted materials,,96.48379613681706
2018,data.Canada,data.All paper fibres,data.Residential sources of diverted materials,,42.13477020448679
2018,data.Canada,data.All paper fibres,data.Non-residential sources of diverted materials,,54.34902593233028
2018,data.Canada,data.Glass,data.All sources of diverted materials,,10.88090728595138
2018,data.Canada,data.Glass,data.Residential sources of diverted materials,,8.17037766864362
2018,data.Canada,data.Glass,data.Non-residential sources of diverted materials,,2.71052961730776
2018,data.Canada,data.Ferrous metals,data.All sources of diverted materials,,17.129196288884707
2018,data.Canada,data.Ferrous metals,data.Residential sources of diverted materials,,3.148637651812687
2018,data.Canada,data.Ferrous metals,data.Non-residential sources of diverted materials,,13.980558637072022
2018,data.Canada,data.Copper and aluminum,data.All sources of diverted materials,,3.6201616351388815
2018,data.Canada,data.Copper and aluminum,data.Residential sources of diverted materials,,1.1161036556668804
2018,data.Canada,data.Copper and aluminum,data.Non-residential sources of diverted materials,,2.504057979472001
2018,data.Canada,data.Mixed metals,data.All sources of diverted materials,,3.206916820962823
2018,data.Canada,data.Mixed metals,data.Residential sources of diverted materials,,1.6409725417052878
2018,data.Canada,data.Mixed metals,data.Non-residential sources of diverted materials,,1.565944279257535
2018,data.Canada,data.White goods,data.All sources of diverted materials,,1.7395756326897842
2018,data.Canada,data.White goods,data.Residential sources of diverted materials,,1.0582082627952496
2018,data.Canada,data.White goods,data.Non-residential sources of diverted materials,,0.6813673698945346
2018,data.Canada,data.Electronics,data.All sources of diverted materials,,2.8857234884453518
2018,data.Canada,data.Electronics,data.Residential sources of diverted materials,,
2018,data.Canada,data.Electronics,data.Non-residential sources of diverted materials,,
2018,data.Canada,data.Plastics,data.All sources of diverted materials,,9.719380966464287
2018,data.Canada,data.Plastics,data.Residential sources of diverted materials,,6.862002097445671
2018,data.Canada,data.Plastics,data.Non-residential sources of diverted materials,,2.857378869018616
2018,data.Canada,data.Gable top and aseptic containers,data.All sources of diverted materials,,0.6914277909096334
2018,data.Canada,data.Gable top and aseptic containers,data.Residential sources of diverted materials,,0.6086965903004563
2018,data.Canada,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,,0.08273120060917709
2018,data.Canada,data.Textiles,data.All sources of diverted materials,,1.6144645658971122
2018,data.Canada,data.Textiles,data.Residential sources of diverted materials,,1.6010872213320761
2018,data.Canada,data.Textiles,data.Non-residential sources of diverted materials,,0.013377344565035924
2018,data.Canada,data.Tires,data.All sources of diverted materials,,13.374712956269033
2018,data.Canada,data.Tires,data.Residential sources of diverted materials,,
2018,data.Canada,data.Tires,data.Non-residential sources of diverted materials,,
2018,data.Canada,"data.Construction, renovation and demolition",data.All sources of diverted materials,,19.804254013022067
2018,data.Canada,"data.Construction, renovation and demolition",data.Residential sources of diverted materials,,3.22443346681745
2018,data.Canada,"data.Construction, renovation and demolition",data.Non-residential sources of diverted materials,,16.579820546204616
2018,data.Canada,data.Organics,data.All sources of diverted materials,,78.91975391179473
2018,data.Canada,data.Organics,data.Residential sources of diverted materials,,62.47285702090949
2018,data.Canada,data.Organics,data.Non-residential sources of diverted materials,,16.44689689088523
2018,data.Canada,data.Other materials,data.All sources of diverted materials,,1.7536657046291868
2018,data.Canada,data.Other materials,data.Residential sources of diverted materials,,1.2742743075936371
2018,data.Canada,data.Other materials,data.Non-residential sources of diverted materials,,0.4793913970355496
2018,data.Newfoundland and Labrador,data.All materials diverted,data.All sources of diverted materials,10,80.69280567394777
2018,data.Newfoundland and Labrador,data.All materials diverted,data.Residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.All materials diverted,data.Non-residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.All paper fibres,data.All sources of diverted materials,10,55.44428409696324
2018,data.Newfoundland and Labrador,data.All paper fibres,data.Residential sources of diverted materials,10,26.004430607352155
2018,data.Newfoundland and Labrador,data.All paper fibres,data.Non-residential sources of diverted materials,10,29.439853489611078
2018,data.Newfoundland and Labrador,data.Glass,data.All sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Glass,data.Residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Glass,data.Non-residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Ferrous metals,data.All sources of diverted materials,10,1.0323668087373468
2018,data.Newfoundland and Labrador,data.Ferrous metals,data.Residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Ferrous metals,data.Non-residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Copper and aluminum,data.All sources of diverted materials,10,0.20492674480554074
2018,data.Newfoundland and Labrador,data.Copper and aluminum,data.Residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Copper and aluminum,data.Non-residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Mixed metals,data.All sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Mixed metals,data.Residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.Mixed metals,data.Non-residential sources of diverted materials,10,
2018,data.Newfoundland and Labrador,data.White goods,data.All sources of diverted materials,10,2.4397882258923813
2018,data.Newfoundland and Labrador,data.White goods,data.Residential sources of diverted materials,10,2.4397882258923813
2018,data.Newfoundland and Labrador,data.White goods,data.Non-residential sources of diverted materials,10,0
2018,data.Newfoundland and Labrador,data.Electronics,data.All sources of diverted materials,10,1.5388838572189663
2018,data.Newfoundland and Labrador,data.Electronics,data.Residential sources of diverted materials,10,
