Year,data.Geography,data.Index,GeoCode,Value
2015,"","",,70.39
2016,"","",,72.01
2017,"","",,73.6
2018,"","",,75.61
2019,"","",,79.75
2020,"","",,73.9
2021,"","",,73.68
2015,data.Canada,data.Violent crime severity index,,75.34
2015,data.Canada,data.Youth crime severity index,,60.42
2015,data.Canada,data.Youth violent crime severity index,,66.39
2015,data.Newfoundland and Labrador ,data.Crime severity index,,65.78
2015,data.Newfoundland and Labrador ,data.Violent crime severity index,,67.02
2015,data.Newfoundland and Labrador ,data.Youth crime severity index,,59.62
2015,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,50.24
2015,data.Prince Edward Island ,data.Crime severity index,,50.63
2015,data.Prince Edward Island ,data.Violent crime severity index,,42.16
2015,data.Prince Edward Island ,data.Youth crime severity index,,34.64
2015,data.Prince Edward Island ,data.Youth violent crime severity index,,30.44
2015,data.Nova Scotia ,data.Crime severity index,,63.26
2015,data.Nova Scotia ,data.Violent crime severity index,,70.93
2015,data.Nova Scotia ,data.Youth crime severity index,,71.34
2015,data.Nova Scotia ,data.Youth violent crime severity index,,67.34
2015,data.New Brunswick ,data.Crime severity index,,62.41
2015,data.New Brunswick ,data.Violent crime severity index,,59.82
2015,data.New Brunswick ,data.Youth crime severity index,,56.92
2015,data.New Brunswick ,data.Youth violent crime severity index,,51.15
2015,data.Quebec ,data.Crime severity index,,56.95
2015,data.Quebec ,data.Violent crime severity index,,66.47
2015,data.Quebec ,data.Youth crime severity index,,53.71
2015,data.Quebec ,data.Youth violent crime severity index,,63.82
2015,data.Ontario ,data.Crime severity index,,51.05
2015,data.Ontario ,data.Violent crime severity index,,59.98
2015,data.Ontario ,data.Youth crime severity index,,49.7
2015,data.Ontario ,data.Youth violent crime severity index,,59.44
2015,data.Manitoba ,data.Crime severity index,,106.29
2015,data.Manitoba ,data.Violent crime severity index,,138.63
2015,data.Manitoba ,data.Youth crime severity index,,117.93
2015,data.Manitoba ,data.Youth violent crime severity index,,125.78
2015,data.Saskatchewan ,data.Crime severity index,,138.33
2015,data.Saskatchewan ,data.Violent crime severity index,,137.64
2015,data.Saskatchewan ,data.Youth crime severity index,,186.74
2015,data.Saskatchewan ,data.Youth violent crime severity index,,173.02
2015,data.Alberta ,data.Crime severity index,,104.49
2015,data.Alberta ,data.Violent crime severity index,,98.9
2015,data.Alberta ,data.Youth crime severity index,,65.04
2015,data.Alberta ,data.Youth violent crime severity index,,70.86
2015,data.British Columbia ,data.Crime severity index,,92.65
2015,data.British Columbia ,data.Violent crime severity index,,81.55
2015,data.British Columbia ,data.Youth crime severity index,,38.85
2015,data.British Columbia ,data.Youth violent crime severity index,,40.16
2015,data.Yukon ,data.Crime severity index,,182.97
2015,data.Yukon ,data.Violent crime severity index,,209.02
2015,data.Yukon ,data.Youth crime severity index,,266.12
2015,data.Yukon ,data.Youth violent crime severity index,,161.22
2015,data.Northwest Territories ,data.Crime severity index,,321.91
