"","Year","Geography","Age at time of death","Sex","Leading causes of death (ICD-10)","Value"
"1","2015","data.Canada","data.All ages","data.Both sexes","data.Malignant neoplasms",215
"2","2015","data.Canada","data.All ages","data.Both sexes","data.Diabetes mellitus",20
"3","2015","data.Canada","data.All ages","data.Both sexes","data.Alzheimer's disease",18.4
"4","2015","data.Canada","data.All ages","data.Both sexes","data.Diseases of heart",143.8
"5","2015","data.Canada","data.All ages","data.Both sexes","data.Cerebrovascular diseases",38.5
"6","2015","data.Canada","data.All ages","data.Both sexes","data.Influenza and pneumonia",21.3
"7","2015","data.Canada","data.All ages","data.Both sexes","data.Chronic lower respiratory diseases",35.1
"8","2015","data.Canada","data.All ages","data.Both sexes","data.Chronic liver disease and cirrhosis",8.9
"9","2015","data.Canada","data.All ages","data.Both sexes","data.Accidents (unintentional injuries)",33
"10","2015","data.Canada","data.All ages","data.Both sexes","data.Intentional self-harm (suicide)",12.3
"11","2015","data.Canada","data.All ages","data.Males","data.Malignant neoplasms",227.4
"12","2015","data.Canada","data.All ages","data.Males","data.Diabetes mellitus",22.2
"13","2015","data.Canada","data.All ages","data.Males","data.Alzheimer's disease",12
"14","2015","data.Canada","data.All ages","data.Males","data.Diseases of heart",153.6
"15","2015","data.Canada","data.All ages","data.Males","data.Cerebrovascular diseases",32.4
"16","2015","data.Canada","data.All ages","data.Males","data.Influenza and pneumonia",19.2
"17","2015","data.Canada","data.All ages","data.Males","data.Chronic lower respiratory diseases",35.1
"18","2015","data.Canada","data.All ages","data.Males","data.Chronic liver disease and cirrhosis",11.8
"19","2015","data.Canada","data.All ages","data.Males","data.Accidents (unintentional injuries)",38.8
"20","2015","data.Canada","data.All ages","data.Males","data.Intentional self-harm (suicide)",18.4
"21","2015","data.Canada","data.All ages","data.Females","data.Malignant neoplasms",202.8
"22","2015","data.Canada","data.All ages","data.Females","data.Diabetes mellitus",17.8
"23","2015","data.Canada","data.All ages","data.Females","data.Alzheimer's disease",24.7
"24","2015","data.Canada","data.All ages","data.Females","data.Diseases of heart",134.2
"25","2015","data.Canada","data.All ages","data.Females","data.Cerebrovascular diseases",44.5
"26","2015","data.Canada","data.All ages","data.Females","data.Influenza and pneumonia",23.3
"27","2015","data.Canada","data.All ages","data.Females","data.Chronic lower respiratory diseases",35.1
"28","2015","data.Canada","data.All ages","data.Females","data.Chronic liver disease and cirrhosis",6
"29","2015","data.Canada","data.All ages","data.Females","data.Accidents (unintentional injuries)",27.4
"30","2015","data.Canada","data.All ages","data.Females","data.Intentional self-harm (suicide)",6.3
"31","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Malignant neoplasms",2.4
"32","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Diabetes mellitus",0
"33","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Alzheimer's disease",0
"34","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Diseases of heart",0.3
"35","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Cerebrovascular diseases",0.2
"36","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Influenza and pneumonia",0.3
