Year,data.Geography,data.Sex,data.Age group,data.Selected demographic characteristics,GeoCode,Value
2016,,,,,NA,79.3
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Non immigrants,NA,78.5
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Immigrants,NA,80.9
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Non-permanent residents,NA,89.1
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Total visible minority population,NA,82.2
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Not a visible minority,NA,78.5
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Total Aboriginal identity,NA,61.6
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.First Nations (North American Indian),NA,56.8
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Métis,NA,70.3
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Inuk (Inuit),NA,40.2
2016,data.Canada,data.Both sexes,"data.Total, persons aged 15 years and over",data.Non-Aboriginal identity,NA,80.1
2016,data.Canada,data.Both sexes,data.15 to 24 years,"data.Total, all persons",NA,65.2
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Non immigrants,NA,63.7
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Immigrants,NA,69
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Non-permanent residents,NA,84.5
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Total visible minority population,NA,69.5
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Not a visible minority,NA,63.6
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Total Aboriginal identity,NA,47
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.First Nations (North American Indian),NA,42.4
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Métis,NA,56.8
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Inuk (Inuit),NA,30.2
2016,data.Canada,data.Both sexes,data.15 to 24 years,data.Non-Aboriginal identity,NA,66.5
2016,data.Canada,data.Both sexes,data.25 to 64 years,"data.Total, all persons",NA,86.3
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Non immigrants,NA,85.8
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Immigrants,NA,87.4
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Non-permanent residents,NA,92.4
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Total visible minority population,NA,88.3
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Not a visible minority,NA,85.7
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Total Aboriginal identity,NA,68.8
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.First Nations (North American Indian),NA,64
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Métis,NA,77.4
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Inuk (Inuit),NA,45.4
2016,data.Canada,data.Both sexes,data.25 to 64 years,data.Non-Aboriginal identity,NA,87.1
2016,data.Canada,data.Both sexes,data.65 to 74 years,"data.Total, all persons",NA,73.1
2016,data.Canada,data.Both sexes,data.65 to 74 years,data.Non immigrants,NA,72.9
2016,data.Canada,data.Both sexes,data.65 to 74 years,data.Immigrants,NA,73.9
2016,data.Canada,data.Both sexes,data.65 to 74 years,data.Non-permanent residents,NA,65.9
2016,data.Canada,data.Both sexes,data.65 to 74 years,data.Total visible minority population,NA,72.6
