"Year","data.Geography","data.Economic family type","GeoCode","Value"
"2015","","",,60400
"2016","","",,60400
"2017","","",,61900
"2018","","",,62100
"2019","","",,62400
"2020","","",,66800
"2015","data.Canada","data.Economic families",,83700
"2015","data.Canada","data.Elderly families",,62400
"2015","data.Canada","data.Elderly couples",,60900
"2015","data.Canada","data.Other elderly families",,69000
"2015","data.Canada","data.Non-elderly families",,89800
"2015","data.Canada","data.Couples",,81000
"2015","data.Canada","data.Couples with children",,102200
"2015","data.Canada","data.Couples with other relatives",,124200
"2015","data.Canada","data.Lone-parent families",,49100
"2015","data.Canada","data.Male lone-parent families",,62400
"2015","data.Canada","data.Female lone-parent families",,46100
"2015","data.Canada","data.Other non-elderly families",,73200
"2015","data.Canada","data.Persons not in an economic family",,30600
"2015","data.Canada","data.Elderly persons not in an economic family",,28500
"2015","data.Canada","data.Elderly males not in an economic family",,29600
"2015","data.Canada","data.Elderly females not in an economic family",,27900
"2015","data.Canada","data.Non-elderly persons not in an economic family",,31900
"2015","data.Canada","data.Non-elderly males not in an economic family",,34500
"2015","data.Canada","data.Non-elderly females not in an economic family",,28300
"2015","data.Atlantic provinces","data.Economic families and persons not in an economic family",,54200
"2015","data.Atlantic provinces","data.Economic families",,74600
"2015","data.Atlantic provinces","data.Elderly families",,53200
"2015","data.Atlantic provinces","data.Elderly couples",,52500
"2015","data.Atlantic provinces","data.Other elderly families",,56600
"2015","data.Atlantic provinces","data.Non-elderly families",,82600
"2015","data.Atlantic provinces","data.Couples",,73400
"2015","data.Atlantic provinces","data.Couples with children",,97600
"2015","data.Atlantic provinces","data.Couples with other relatives",,111100
"2015","data.Atlantic provinces","data.Lone-parent families",,41600
"2015","data.Atlantic provinces","data.Male lone-parent families",,50600
"2015","data.Atlantic provinces","data.Female lone-parent families",,40300
"2015","data.Atlantic provinces","data.Other non-elderly families",,61400
"2015","data.Atlantic provinces","data.Persons not in an economic family",,26100
"2015","data.Atlantic provinces","data.Elderly persons not in an economic family",,25400
"2015","data.Atlantic provinces","data.Elderly males not in an economic family",,28100
"2015","data.Atlantic provinces","data.Elderly females not in an economic family",,24400
"2015","data.Atlantic provinces","data.Non-elderly persons not in an economic family",,26800
"2015","data.Atlantic provinces","data.Non-elderly males not in an economic family",,28700
"2015","data.Atlantic provinces","data.Non-elderly females not in an economic family",,25600
"2015","data.Newfoundland and Labrador","data.Economic families and persons not in an economic family",10,58300
"2015","data.Newfoundland and Labrador","data.Economic families",10,82400
"2015","data.Newfoundland and Labrador","data.Elderly families",10,45400
"2015","data.Newfoundland and Labrador","data.Elderly couples",10,43400
"2015","data.Newfoundland and Labrador","data.Other elderly families",10,59100
"2015","data.Newfoundland and Labrador","data.Non-elderly families",10,93000
"2015","data.Newfoundland and Labrador","data.Couples",10,76700
"2015","data.Newfoundland and Labrador","data.Couples with children",10,104900
"2015","data.Newfoundland and Labrador","data.Couples with other relatives",10,136600
"2015","data.Newfoundland and Labrador","data.Lone-parent families",10,36300
"2015","data.Newfoundland and Labrador","data.Male lone-parent families",10,
"2015","data.Newfoundland and Labrador","data.Female lone-parent families",10,31700
"2015","data.Newfoundland and Labrador","data.Other non-elderly families",10,74100
"2015","data.Newfoundland and Labrador","data.Persons not in an economic family",10,24600
"2015","data.Newfoundland and Labrador","data.Elderly persons not in an economic family",10,23800
"2015","data.Newfoundland and Labrador","data.Elderly males not in an economic family",10,27700
"2015","data.Newfoundland and Labrador","data.Elderly females not in an economic family",10,22400
"2015","data.Newfoundland and Labrador","data.Non-elderly persons not in an economic family",10,25600
"2015","data.Newfoundland and Labrador","data.Non-elderly males not in an economic family",10,28800
"2015","data.Newfoundland and Labrador","data.Non-elderly females not in an economic family",10,22800
"2015","data.Prince Edward Island","data.Economic families and persons not in an economic family",11,55600
"2015","data.Prince Edward Island","data.Economic families",11,71800
"2015","data.Prince Edward Island","data.Elderly families",11,58100
"2015","data.Prince Edward Island","data.Elderly couples",11,57600
"2015","data.Prince Edward Island","data.Other elderly families",11,60600
"2015","data.Prince Edward Island","data.Non-elderly families",11,77300
"2015","data.Prince Edward Island","data.Couples",11,68000
"2015","data.Prince Edward Island","data.Couples with children",11,89200
"2015","data.Prince Edward Island","data.Couples with other relatives",11,104900
"2015","data.Prince Edward Island","data.Lone-parent families",11,40500
"2015","data.Prince Edward Island","data.Male lone-parent families",11,
"2015","data.Prince Edward Island","data.Female lone-parent families",11,40500
"2015","data.Prince Edward Island","data.Other non-elderly families",11,
"2015","data.Prince Edward Island","data.Persons not in an economic family",11,27000
"2015","data.Prince Edward Island","data.Elderly persons not in an economic family",11,25900
"2015","data.Prince Edward Island","data.Elderly males not in an economic family",11,27500
"2015","data.Prince Edward Island","data.Elderly females not in an economic family",11,24900
"2015","data.Prince Edward Island","data.Non-elderly persons not in an economic family",11,27600
"2015","data.Prince Edward Island","data.Non-elderly males not in an economic family",11,28600
"2015","data.Prince Edward Island","data.Non-elderly females not in an economic family",11,25000
"2015","data.Nova Scotia","data.Economic families and persons not in an economic family",12,51700
"2015","data.Nova Scotia","data.Economic families",12,74400
"2015","data.Nova Scotia","data.Elderly families",12,55700
"2015","data.Nova Scotia","data.Elderly couples",12,53700
"2015","data.Nova Scotia","data.Other elderly families",12,61900
"2015","data.Nova Scotia","data.Non-elderly families",12,79900
"2015","data.Nova Scotia","data.Couples",12,71800
"2015","data.Nova Scotia","data.Couples with children",12,96100
"2015","data.Nova Scotia","data.Couples with other relatives",12,111100
"2015","data.Nova Scotia","data.Lone-parent families",12,41400
"2015","data.Nova Scotia","data.Male lone-parent families",12,
"2015","data.Nova Scotia","data.Female lone-parent families",12,41400
"2015","data.Nova Scotia","data.Other non-elderly families",12,65200
"2015","data.Nova Scotia","data.Persons not in an economic family",12,27000
"2015","data.Nova Scotia","data.Elderly persons not in an economic family",12,25900
