"Year","data.Geography","data.Sex","data.Age group","GeoCode","Value"
"2015","","","",,26.29
"2016","","","",,24.95
"2017","","","",,24.15
"2018","","","",,21.77
"2019","","","",,19.5
"2020","","","",,23.26
"2021","","","",,21.3
"2022","","","",,15.62
"2015","data.Alberta","data.Both sexes","data.15 to 24 years",48,17.87
"2015","data.Alberta","data.Both sexes","data.15 years and over",48,20.19
"2015","data.Alberta","data.Both sexes","data.25 to 44 years",48,24.52
"2015","data.Alberta","data.Both sexes","data.25 to 54 years",48,25.27
"2015","data.Alberta","data.Both sexes","data.25 years and over",48,21.3
"2015","data.Alberta","data.Both sexes","data.45 years and over",48,18.64
"2015","data.Alberta","data.Both sexes","data.55 to 64 years",48,11.83
"2015","data.Alberta","data.Both sexes","data.55 years and over",48,11.12
"2015","data.Alberta","data.Both sexes","data.65 years and over",48,4.85
"2015","data.Alberta","data.Females","data.15 to 24 years",48,16.57
"2015","data.Alberta","data.Females","data.15 years and over",48,18.23
"2015","data.Alberta","data.Females","data.25 to 44 years",48,20.93
"2015","data.Alberta","data.Females","data.25 to 54 years",48,21.37
"2015","data.Alberta","data.Females","data.25 years and over",48,18.84
"2015","data.Alberta","data.Females","data.45 years and over",48,15.28
"2015","data.Alberta","data.Females","data.55 to 64 years",48,9.97
"2015","data.Alberta","data.Females","data.55 years and over",48,8.67
"2015","data.Alberta","data.Females","data.65 years and over",48,0
"2015","data.Alberta","data.Males","data.15 to 24 years",48,15.03
"2015","data.Alberta","data.Males","data.15 years and over",48,24.6
"2015","data.Alberta","data.Males","data.25 to 44 years",48,31.93
"2015","data.Alberta","data.Males","data.25 to 54 years",48,34.77
"2015","data.Alberta","data.Males","data.25 years and over",48,26.97
"2015","data.Alberta","data.Males","data.45 years and over",48,19.91
"2015","data.Alberta","data.Males","data.55 to 64 years",48,16.78
"2015","data.Alberta","data.Males","data.55 years and over",48,9.62
"2015","data.Alberta","data.Males","data.65 years and over",48,0
"2015","data.British Columbia","data.Both sexes","data.15 to 24 years",59,20.7
"2015","data.British Columbia","data.Both sexes","data.15 years and over",59,24.24
"2015","data.British Columbia","data.Both sexes","data.25 to 44 years",59,28.78
"2015","data.British Columbia","data.Both sexes","data.25 to 54 years",59,30.71
"2015","data.British Columbia","data.Both sexes","data.25 years and over",59,25.85
"2015","data.British Columbia","data.Both sexes","data.45 years and over",59,23.78
"2015","data.British Columbia","data.Both sexes","data.55 to 64 years",59,20.46
"2015","data.British Columbia","data.Both sexes","data.55 years and over",59,16.03
"2015","data.British Columbia","data.Both sexes","data.65 years and over",59,0
"2015","data.British Columbia","data.Females","data.15 to 24 years",59,20.51
"2015","data.British Columbia","data.Females","data.15 years and over",59,22.18
"2015","data.British Columbia","data.Females","data.25 to 44 years",59,23.4
"2015","data.British Columbia","data.Females","data.25 to 54 years",59,25.74
"2015","data.British Columbia","data.Females","data.25 years and over",59,22.75
