Year,Sex,Age Group,Tobacco Product,Value
2015,Total,All age groups,Any tobacco product,15.5
2015,Total,All age groups,Cigarettes,13.2
2015,Total,All age groups,Cigars,1.2
2015,Total,All age groups,Little cigars or cigarillos,1.8
2015,Total,All age groups,Pipe,0.5
2015,Total,All age groups,Smokeless tobacco,0.4
2015,Total,All age groups,Water pipe w tobacco,0.5
2015,Total,All age groups,E-cigarettes,3.2
2015,Male,All age groups,Any tobacco product,19.5
2015,Male,All age groups,Cigarettes,15.8
2015,Male,All age groups,Cigars,2.2
2015,Male,All age groups,Little cigars or cigarillos,2.7
2015,Male,All age groups,Pipe,0.8
2015,Male,All age groups,Smokeless tobacco,0.8
2015,Male,All age groups,Water pipe w tobacco,0.7
2015,Male,All age groups,E-cigarettes,3.6
2015,Female,All age groups,Any tobacco product,11.6
2015,Female,All age groups,Cigarettes,10.6
2015,Female,All age groups,Little cigars or cigarillos,0.9
2015,Female,All age groups,Pipe,0.3
2015,Female,All age groups,Water pipe w tobacco,0.4
2015,Female,All age groups,E-cigarettes,2.8
2015,Both sexes,15-19,Any tobacco product,13.1
2015,Both sexes,15-19,Cigarettes,9.8
2015,Both sexes,15-19,Cigars,1.3
2015,Both sexes,15-19,Little cigars or cigarillos,3
2015,Both sexes,15-19,Smokeless tobacco,0.9
2015,Both sexes,15-19,Water pipe w tobacco,1.7
2015,Both sexes,15-19,E-cigarettes,6.3
2015,Both sexes,20-24,Any tobacco product,23.8
2015,Both sexes,20-24,Cigarettes,18.9
2015,Both sexes,20-24,Cigars,2.3
2015,Both sexes,20-24,Little cigars or cigarillos,5.7
2015,Both sexes,20-24,Pipe,1.5
2015,Both sexes,20-24,Smokeless tobacco,1.8
2015,Both sexes,20-24,Water pipe w tobacco,2.7
2015,Both sexes,20-24,E-cigarettes,6.3
2015,Both sexes,25+,Any tobacco product,14.9
2015,Both sexes,25+,Cigarettes,12.9
2015,Both sexes,25+,Cigars,1.1
2015,Both sexes,25+,Little cigars or cigarillos,1.3
2015,Both sexes,25+,Pipe,0.4
2015,Both sexes,25+,Smokeless tobacco,0.2
2015,Both sexes,25+,E-cigarettes,2.6
2015,Both sexes,25-44,Any tobacco product,17.8
2015,Both sexes,25-44,Cigarettes,15.3
2015,Both sexes,25-44,Cigars,1.1
2015,Both sexes,25-44,Little cigars or cigarillos,1.7
2015,Both sexes,25-44,E-cigarettes,3.4
2015,Both sexes,45+,Any tobacco product,13
2015,Both sexes,45+,Cigarettes,11.4
2015,Both sexes,45+,Cigars,1
2015,Both sexes,45+,Little cigars or cigarillos,1
2015,Both sexes,45+,E-cigarettes,2.1
