Sex,Age Group,Tobacco Product,Value
Total,All age groups,Any tobacco product,17.8
Total,All age groups,Cigarettes,15.3
Total,All age groups,Cigars,0.8
Total,All age groups,Little cigars or cigarillos,1.4
Total,All age groups,Pipe,0.3
Total,All age groups,Smokeless tobacco,0.7
Total,All age groups,Water pipe w tobacco,0.7
Total,All age groups,E-cigarettes,2.9
Male,All age groups,Any tobacco product,21.2
Male,All age groups,Cigarettes,17
Male,All age groups,Cigars,1.5
Male,All age groups,Little cigars or cigarillos,2.1
Male,All age groups,Smokeless tobacco,1.5
Male,All age groups,Water pipe w tobacco,0.9
Male,All age groups,E-cigarettes,3.6
Female,All age groups,Any tobacco product,14.4
Female,All age groups,Cigarettes,13.6
Female,All age groups,Cigars,0.1
Female,All age groups,Water pipe w tobacco,0.5
Female,All age groups,E-cigarettes,2.2
Both sexes,15-19,Any tobacco product,9.2
Both sexes,15-19,Cigarettes,6.6
Both sexes,15-19,Cigars,1
Both sexes,15-19,Little cigars or cigarillos,2.2
Both sexes,15-19,Smokeless tobacco,1.6
Both sexes,15-19,Water pipe w tobacco,1.5
Both sexes,15-19,E-cigarettes,6.3
Both sexes,20-24,Any tobacco product,20.6
Both sexes,20-24,Cigarettes,15.6
Both sexes,20-24,Cigars,2.1
Both sexes,20-24,Little cigars or cigarillos,3.7
Both sexes,20-24,Smokeless tobacco,1.4
Both sexes,20-24,Water pipe w tobacco,3.1
Both sexes,20-24,E-cigarettes,6
Both sexes,25-44,Any tobacco product,22.4
Both sexes,25-44,Cigarettes,18.7
Both sexes,25-44,Little cigars or cigarillos,1.9
Both sexes,25-44,E-cigarettes,3.2
Both sexes,25+,Any tobacco product,18.2
Both sexes,25+,Cigarettes,16
Both sexes,25+,Cigars,0.6
Both sexes,25+,Little cigars or cigarillos,1.1
Both sexes,25+,E-cigarettes,2.3
Both sexes,45+,Any tobacco product,15.6
Both sexes,45+,Cigarettes,14.2
Both sexes,45+,Little cigars or cigarillos,0.6
Both sexes,45+,E-cigarettes,1.7
