Year,Sex,Age Group,Tobacco Product,Value
2019,All Genders,All age groups,Any tobacco product,14
2019,All Genders,All age groups,Cigarettes,11.9
2019,All Genders,All age groups,Cigars,1.4
2019,All Genders,All age groups,Little cigars or cigarillos,1.9
2019,All Genders,All age groups,Chewing tobacco,0.4
2019,All Genders,All age groups,Water pipe w tobacco,0.4
2019,All Genders,All age groups,Vaping,4.7
2019,Men,All age groups,Any tobacco product,15.9
2019,Men,All age groups,Cigarettes,12.6
2019,Men,All age groups,Cigars,2.4
2019,Men,All age groups,Little cigars or cigarillos,2.8
2019,Men,All age groups,Chewing tobacco,0.7
2019,Men,All age groups,Water pipe w tobacco,0.5
2019,Men,All age groups,Vaping,5.8
2019,Women,All age groups,Any tobacco product,12
2019,Women,All age groups,Cigarettes,11
2019,Women,All age groups,Little cigars or cigarillos,1
2019,Women,All age groups,Vaping,3.6
2019,All Genders,15-19,Any tobacco product,7.4
2019,All Genders,15-19,Cigarettes,5.1
2019,All Genders,15-19,Vaping,15.1
2019,All Genders,20-24,Any tobacco product,18.3
2019,All Genders,20-24,Cigarettes,13.3
2019,All Genders,20-24,Little cigars or cigarillos,3.9
2019,All Genders,20-24,Vaping,15.2
2019,All Genders,25+,Any tobacco product,14.4
2019,All Genders,25+,Cigarettes,12.5
2019,All Genders,25+,Cigars,1.3
2019,All Genders,25+,Little cigars or cigarillos,1.7
2019,All Genders,25+,Vaping,2.9
2019,All Genders,25-44,Any tobacco product,16
2019,All Genders,25-44,Cigarettes,13.2
2019,All Genders,25-44,Little cigars or cigarillos,1.7
2019,All Genders,25-44,Vaping,5
2019,All Genders,45+,Any tobacco product,13.4
2019,All Genders,45+,Cigarettes,12
2019,All Genders,45+,Cigars,0.9
2019,All Genders,45+,Little cigars or cigarillos,1.6
2019,All Genders,45+,Vaping,1.6
2019,Men,15-19,Any tobacco product,9.1
2019,Men,15-19,Cigarettes,6
2019,Men,15-19,Vaping,16.1
2019,Men,20-24,Any tobacco product,21.6
2019,Men,20-24,Cigarettes,15.3
2019,Men,20-24,Vaping,18
2019,Men,25+,Any tobacco product,16.3
2019,Men,25+,Cigarettes,13.2
2019,Men,25+,Cigars,2.3
2019,Men,25+,Little cigars or cigarillos,2.6
2019,Men,25+,Vaping,3.8
2019,Men,25-44,Any tobacco product,18.2
2019,Men,25-44,Cigarettes,13.7
2019,Men,25-44,Vaping,6.7
2019,Men,45+,Any tobacco product,15.1
2019,Men,45+,Cigarettes,12.9
2019,Men,45+,Cigars,1.5
2019,Men,45+,Little cigars or cigarillos,2.6
2019,Men,45+,Vaping,1.9
2019,Women,15-19,Any tobacco product,5
2019,Women,15-19,Vaping,13.6
2019,Women,20-24,Any tobacco product,14.2
2019,Women,20-24,Cigarettes,10.6
2019,Women,20-24,Vaping,11.8
2019,Women,25+,Any tobacco product,12.5
2019,Women,25+,Cigarettes,11.8
2019,Women,25+,Little cigars or cigarillos,0.8
2019,Women,25+,Vaping,2.1
2019,Women,25-44,Any tobacco product,13.8
2019,Women,25-44,Cigarettes,12.8
2019,Women,25-44,Vaping,3.3
2019,Women,45+,Any tobacco product,11.8
2019,Women,45+,Cigarettes,11.3
2019,Women,45+,Vaping,1.3
