"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Total primary and secondary energy","Energy use, final demand","Terajoules","283","units","0","v54272321","1.1.18","8235523","","","","0"
"2016","Canada","2016A000011124","Total primary and secondary energy","Energy use, final demand","Terajoules","283","units","0","v54272321","1.1.18","8127535","","","","0"
"2017","Canada","2016A000011124","Total primary and secondary energy","Energy use, final demand","Terajoules","283","units","0","v54272321","1.1.18","8463974","","","","0"
"2018","Canada","2016A000011124","Total primary and secondary energy","Energy use, final demand","Terajoules","283","units","0","v54272321","1.1.18","8889544","","","","0"
"2019","Canada","2016A000011124","Total primary and secondary energy","Energy use, final demand","Terajoules","283","units","0","v54272321","1.1.18","8927866","","","","0"
"2020","Canada","2016A000011124","Total primary and secondary energy","Energy use, final demand","Terajoules","283","units","0","v54272321","1.1.18","8129291","","","","0"
"2015","Canada","2016A000011124","Total primary and secondary energy","Total industrial","Terajoules","283","units","0","v54272335","1.1.31","2709892","","","","0"
"2016","Canada","2016A000011124","Total primary and secondary energy","Total industrial","Terajoules","283","units","0","v54272335","1.1.31","2661741","","","","0"
"2017","Canada","2016A000011124","Total primary and secondary energy","Total industrial","Terajoules","283","units","0","v54272335","1.1.31","2778773","","","","0"
"2018","Canada","2016A000011124","Total primary and secondary energy","Total industrial","Terajoules","283","units","0","v54272335","1.1.31","2939975","","","","0"
"2019","Canada","2016A000011124","Total primary and secondary energy","Total industrial","Terajoules","283","units","0","v54272335","1.1.31","2967200","","","","0"
"2020","Canada","2016A000011124","Total primary and secondary energy","Total industrial","Terajoules","283","units","0","v54272335","1.1.31","2772989","","","","0"
"2015","Canada","2016A000011124","Total primary and secondary energy","Total transportation","Terajoules","283","units","0","v54272347","1.1.42","2693029","","","","0"
"2016","Canada","2016A000011124","Total primary and secondary energy","Total transportation","Terajoules","283","units","0","v54272347","1.1.42","2670841","","","","0"
"2017","Canada","2016A000011124","Total primary and secondary energy","Total transportation","Terajoules","283","units","0","v54272347","1.1.42","2728289","","","","0"
"2018","Canada","2016A000011124","Total primary and secondary energy","Total transportation","Terajoules","283","units","0","v54272347","1.1.42","2839548","","","","0"
"2019","Canada","2016A000011124","Total primary and secondary energy","Total transportation","Terajoules","283","units","0","v54272347","1.1.42","2863875","","","","0"
"2020","Canada","2016A000011124","Total primary and secondary energy","Total transportation","Terajoules","283","units","0","v54272347","1.1.42","2371621","","","","0"
"2015","Canada","2016A000011124","Total primary and secondary energy","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272348","1.1.43","289662","","","","0"
"2016","Canada","2016A000011124","Total primary and secondary energy","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272348","1.1.43","293195","","","","0"
"2017","Canada","2016A000011124","Total primary and secondary energy","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272348","1.1.43","299188","","","","0"
"2018","Canada","2016A000011124","Total primary and secondary energy","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272348","1.1.43","310662","","","","0"
"2019","Canada","2016A000011124","Total primary and secondary energy","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272348","1.1.43","301633","","","","0"
"2020","Canada","2016A000011124","Total primary and secondary energy","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272348","1.1.43","290554","","","","0"
"2015","Canada","2016A000011124","Total primary and secondary energy","Residential","Terajoules","283","units","0","v54272349","1.1.44","1374289","","","","0"
"2016","Canada","2016A000011124","Total primary and secondary energy","Residential","Terajoules","283","units","0","v54272349","1.1.44","1297901","","","","0"
"2017","Canada","2016A000011124","Total primary and secondary energy","Residential","Terajoules","283","units","0","v54272349","1.1.44","1353533","","","","0"
