GEO_NAME,Census year,Sex,Marital status, Total - Age,15 to 19 years,20 to 24 years
Canada,2016,Female,Total - Marital status,15040880,986940,1098200
Canada,2016,Female,Married or living common law,8441580,16420,206195
Canada,2016,Female,Married,6689990,1910,55235
Canada,2016,Female,Living common law,1751590,14505,150955
Canada,2011,Female,Total - Marital status,14326215,1062290,1078670
Canada,2011,Female,Married or living common law,8038700,23585,231245
Canada,2011,Female,Married,6471665,3400,71835
Canada,2011,Female,Living common law,1567035,20185,159410
Canada,2006,Female,Total - Marital status,13414410,1045205,1032435
Canada,2006,Female,Married or living common law,7596235,30445,243225
Canada,2006,Female,Married,6234660,7430,85055
Canada,2006,Female,Living common law,1361575,23010,158170
Canada,2001,Female,Total - Marital status,12505700,1001180,973530
Canada,2001,Female,Married or living common law,7142000,29630,249335
Canada,2001,Female,Married,6003230,6145,99215
Canada,2001,Female,Living common law,1138775,23485,150120
Canada,1996,Female,Total - Marital status,11800670,955765,946225
Canada,1996,Female,Married or living common law,6781110,32610,262800
Canada,1996,Female,Married,5866725,7415,124685
Canada,1996,Female,Living common law,914385,25195,138115
Newfoundland and Labrador,2016,Female,Total - Marital status,229550,13275,13785
Newfoundland and Labrador,2016,Female,Married or living common law,138660,245,2725
Newfoundland and Labrador,2016,Female,Married,115355,10,400
Newfoundland and Labrador,2016,Female,Living common law,23305,230,2325
Newfoundland and Labrador,2011,Female,Total - Marital status,226600,14410,14975
Newfoundland and Labrador,2011,Female,Married or living common law,136600,295,2845
Newfoundland and Labrador,2011,Female,Married,115905,15,540
Newfoundland and Labrador,2011,Female,Living common law,20690,280,2305
Newfoundland and Labrador,2006,Female,Total - Marital status,221540,16750,15890
Newfoundland and Labrador,2006,Female,Married or living common law,132555,325,2680
Newfoundland and Labrador,2006,Female,Married,115955,70,735
Newfoundland and Labrador,2006,Female,Living common law,16595,250,1945
Newfoundland and Labrador,2001,Female,Total - Marital status,218750,19385,17150
Newfoundland and Labrador,2001,Female,Married or living common law,131905,345,3505
Newfoundland and Labrador,2001,Female,Married,117500,55,1260
Newfoundland and Labrador,2001,Female,Living common law,14405,290,2250
Newfoundland and Labrador,1996,Female,Total - Marital status,225615,22455,21175
Newfoundland and Labrador,1996,Female,Married or living common law,136170,485,5160
Newfoundland and Labrador,1996,Female,Married,123025,95,2315
Newfoundland and Labrador,1996,Female,Living common law,13145,395,2845
Prince Edward Island,2016,Female,Total - Marital status,62485,4210,4230
Prince Edward Island,2016,Female,Married or living common law,35840,75,805
Prince Edward Island,2016,Female,Married,30430,15,170
Prince Edward Island,2016,Female,Living common law,5405,60,630
Prince Edward Island,2011,Female,Total - Marital status,61240,4720,4440
Prince Edward Island,2011,Female,Married or living common law,34970,95,850
Prince Edward Island,2011,Female,Married,30370,5,240
Prince Edward Island,2011,Female,Living common law,4600,90,610
Prince Edward Island,2006,Female,Total - Marital status,58530,4940,4400
Prince Edward Island,2006,Female,Married or living common law,33200,105,905
Prince Edward Island,2006,Female,Married,29145,25,315
Prince Edward Island,2006,Female,Living common law,4060,80,590
Prince Edward Island,2001,Female,Total - Marital status,56490,5050,4415
Prince Edward Island,2001,Female,Married or living common law,32370,150,1145
Prince Edward Island,2001,Female,Married,28840,20,490
Prince Edward Island,2001,Female,Living common law,3530,130,655
Prince Edward Island,1996,Female,Total - Marital status,54205,4875,4585
Prince Edward Island,1996,Female,Married or living common law,31125,125,1275
Prince Edward Island,1996,Female,Married,28350,25,645
Prince Edward Island,1996,Female,Living common law,2770,105,630
Nova Scotia,2016,Female,Total - Marital status,411255,25015,28010
Nova Scotia,2016,Female,Married or living common law,227750,480,5440
Nova Scotia,2016,Female,Married,184990,25,935
Nova Scotia,2016,Female,Living common law,42760,445,4505
Nova Scotia,2011,Female,Total - Marital status,408705,28205,29560
Nova Scotia,2011,Female,Married or living common law,226790,605,6085
Nova Scotia,2011,Female,Married,188155,60,1350
Nova Scotia,2011,Female,Living common law,38635,545,4740
Nova Scotia,2006,Female,Total - Marital status,401695,30245,28715
Nova Scotia,2006,Female,Married or living common law,224135,740,6125
Nova Scotia,2006,Female,Married,189865,135,1540
Nova Scotia,2006,Female,Living common law,34270,600,4590
Nova Scotia,2001,Female,Total - Marital status,388060,30190,28815
Nova Scotia,2001,Female,Married or living common law,220165,660,6745
Nova Scotia,2001,Female,Married,190720,95,2310
Nova Scotia,2001,Female,Living common law,29445,570,4435
Nova Scotia,1996,Female,Total - Marital status,378930,30595,31120
Nova Scotia,1996,Female,Married or living common law,215665,735,7970
Nova Scotia,1996,Female,Married,191690,135,3645
Nova Scotia,1996,Female,Living common law,23980,600,4325
New Brunswick,2016,Female,Total - Marital status,327570,19705,20165
New Brunswick,2016,Female,Married or living common law,189820,510,5010
New Brunswick,2016,Female,Married,150925,25,910
New Brunswick,2016,Female,Living common law,38895,485,4105
New Brunswick,2011,Female,Total - Marital status,329110,22265,21850
New Brunswick,2011,Female,Married or living common law,191260,675,5675
New Brunswick,2011,Female,Married,155190,50,1355
New Brunswick,2011,Female,Living common law,36070,625,4325
New Brunswick,2006,Female,Total - Marital status,316900,23240,22320
New Brunswick,2006,Female,Married or living common law,183850,725,5925
New Brunswick,2006,Female,Married,152950,115,1610
New Brunswick,2006,Female,Living common law,30900,605,4315
New Brunswick,2001,Female,Total - Marital status,309550,24775,23345
New Brunswick,2001,Female,Married or living common law,181460,840,7070
New Brunswick,2001,Female,Married,154255,115,2530
New Brunswick,2001,Female,Living common law,27205,720,4535
New Brunswick,1996,Female,Total - Marital status,304790,25960,26370
New Brunswick,1996,Female,Married or living common law,178990,950,8275
New Brunswick,1996,Female,Married,156610,180,3540
New Brunswick,1996,Female,Living common law,22380,770,4735
Quebec,2016,Female,Total - Marital status,3496885,210755,247500
Quebec,2016,Female,Married or living common law,1919395,4510,55995
Quebec,2016,Female,Married,1170260,305,8020
Quebec,2016,Female,Living common law,749135,4205,47975
Quebec,2011,Female,Total - Marital status,3411255,242020,242340
Quebec,2011,Female,Married or living common law,1869905,7100,63950
Quebec,2011,Female,Married,1176050,680,9945
Quebec,2011,Female,Living common law,693850,6425,54000
Quebec,2006,Female,Total - Marital status,3245070,232820,233730
Quebec,2006,Female,Married or living common law,1789220,8130,66495
Quebec,2006,Female,Married,1180515,1400,10800
Quebec,2006,Female,Living common law,608700,6730,55695
Quebec,2001,Female,Total - Marital status,3072125,226220,241270
Quebec,2001,Female,Married or living common law,1700395,8540,71235
Quebec,2001,Female,Married,1196470,1065,13285
Quebec,2001,Female,Living common law,503925,7475,57950
Quebec,1996,Female,Total - Marital status,2974935,241245,225425
Quebec,1996,Female,Married or living common law,1658365,9065,71125
Quebec,1996,Female,Married,1258970,1250,19010
Quebec,1996,Female,Living common law,399390,7815,52120
Ontario,2016,Female,Total - Marital status,5812750,394940,436570
Ontario,2016,Female,Married or living common law,3218795,4225,60085
Ontario,2016,Female,Married,2767655,720,20340
Ontario,2016,Female,Living common law,451140,3505,39745
Ontario,2011,Female,Total - Marital status,5525420,419950,420415
Ontario,2011,Female,Married or living common law,3079670,5905,67860
Ontario,2011,Female,Married,2686080,1230,27430
Ontario,2011,Female,Living common law,393590,4675,40430
Ontario,2006,Female,Total - Marital status,5152630,405930,396810
Ontario,2006,Female,Married or living common law,2927385,8535,74575
Ontario,2006,Female,Married,2583545,3070,34610
Ontario,2006,Female,Living common law,343840,5460,39965
Ontario,2001,Female,Total - Marital status,4744935,374500,358775
Ontario,2001,Female,Married or living common law,2736915,8030,77030
Ontario,2001,Female,Married,2446120,2545,40115
Ontario,2001,Female,Living common law,290790,5480,36910
Ontario,1996,Female,Total - Marital status,4417825,340240,351670
Ontario,1996,Female,Married or living common law,2542280,9220,80295
Ontario,1996,Female,Married,2317080,2965,47955
Ontario,1996,Female,Living common law,225195,6255,32340
Manitoba,2016,Female,Total - Marital status,528260,39890,42300
Manitoba,2016,Female,Married or living common law,296335,820,9290
Manitoba,2016,Female,Married,251180,115,3480
Manitoba,2016,Female,Living common law,45155,700,5810
Manitoba,2011,Female,Total - Marital status,501175,42035,40995
Manitoba,2011,Female,Married or living common law,279210,1155,9855
Manitoba,2011,Female,Married,239965,240,4055
Manitoba,2011,Female,Living common law,39245,915,5800
Manitoba,2006,Female,Total - Marital status,475520,41210,38635
Manitoba,2006,Female,Married or living common law,264725,1390,9730
Manitoba,2006,Female,Married,231400,355,4500
Manitoba,2006,Female,Living common law,33320,1040,5235
Manitoba,2001,Female,Total - Marital status,455980,39210,36415
Manitoba,2001,Female,Married or living common law,258425,1465,10500
Manitoba,2001,Female,Married,229235,350,5335
Manitoba,2001,Female,Living common law,29195,1115,5165
Manitoba,1996,Female,Total - Marital status,447110,38030,37650
Manitoba,1996,Female,Married or living common law,255695,1620,11495
Manitoba,1996,Female,Married,230565,425,6385
Manitoba,1996,Female,Living common law,25130,1195,5110
Saskatchewan,2016,Female,Total - Marital status,447295,32980,33985
Saskatchewan,2016,Female,Married or living common law,259360,900,8735
Saskatchewan,2016,Female,Married,218080,70,2570
Saskatchewan,2016,Female,Living common law,41280,825,6165
Saskatchewan,2011,Female,Total - Marital status,424980,34885,35470
Saskatchewan,2011,Female,Married or living common law,243495,1145,9720
Saskatchewan,2011,Female,Married,207655,115,3350
Saskatchewan,2011,Female,Living common law,35845,1035,6375
Saskatchewan,2006,Female,Total - Marital status,401185,36450,33440
Saskatchewan,2006,Female,Married or living common law,227010,1445,9420
Saskatchewan,2006,Female,Married,198220,190,3595
Saskatchewan,2006,Female,Living common law,28795,1255,5825
